text,author
"দরজায় তালা লাগানো হচ্ছে। তালা লাগানোর অর্থ বেশ কিছু সময় আমাকে এই ঘরে থাকতে হবে। ঘরের দেয়ালে সস্তা ধরনের ঘড়ি আছে। ঘড়িতে নয়টা চল্লিশ বাজে। যখন প্রথম এই ঘরে আমাকে ঢোকানো হয়, তখনো নয়টা চল্লিশ বাজছিল। এই ঘড়ি বেচারার জীবন নয়টা চল্লিশে আটকে গেছে।
টেবিলে লোকনাথ ডাইরেক্টরি পঞ্জিকা দেখতে পাচ্ছি। সময় কাটানোর জন্যে পঞ্জিকা পড়া যেতে পারে। গ্রহ-নক্ষত্রের অবস্থান। তিথি বিচার, লগ্ন বিচার। পঞ্জিকার নিচে ভালো রিডিং ম্যাটেরিয়াল পাওয়া গেল। টাইপ করা প্রতিবেদন। শিরোনাম 'আয়না মজিদ'। কবীর সাহেব এই জিনিসই বারবার পড়ছিলেন। লাল কলম দিয়ে দাগ দিচ্ছিলেন। আয়না মজিদ পড়ে তার সম্পর্কে জানা কবীর সাহেবের জন্যে প্রয়োজন ছিল। আমার প্রয়োজন নেই। একটা ফাইল পাওয়া গেল। ফাইলে লেখা ৩৮৯৯, ভেতরে তিন চারটা সাদা পাতা।
আয়না মজিদ-বিষয়ক লেখাটা ভাঁজ হাতে নিয়ে নিলাম। কেন জানি মনে হচ্ছে এখানে বেশিক্ষণ থাকা; না। বের হব কীভাবে তাও বুঝতে পারছি না। ",Humayun Ahmed
"বাদলের সঙ্গে একবার একটা হলিউডের ছবি দেখেছিলাম। ছবিতে ভয়ঙ্কর ঘরে বন্দি করে রাখা হয়েছে। তাকে কোর্টে নেয়া না। দু'জন পুলিশ অফিসার এই ঘরেই তাকে গুলি করে মারবে। ক্রিমিন্যালটা হুডনির মতো বাঁধন খুলে ফেলল এবং ঘরের সিলিং ফ্যান ধরে ঝুলতে লাগল। দরজা খুলে দু'জন পুলিশ অফিসার ঢুকল। ক্রিমিন্যালটা (নাম হ্যারি) সিলিং ফ্যান ধরে ঝুলতে ঝুলতে ফ্লাইং কিক লাগাল। অফিসার দু'জন একই সঙ্গে কুপোকাত। হ্যারি বাবু আকাশে একটা ডিগবাজি খেয়ে মেঝেতে ল্যান্ড করলেন। দুই অফিসারের কোমর থেকে দুই পিস্তল নিয়ে নিলেন এবং মিষ্টি করে বললেন, It's a beautiful day. গুলি করতে করতে প্রস্থান করলেন। বাদল আমার দিকে তাকিয়ে বলল, বাপকা ব্যাটা! কী বলেন হিমুদা?
আমি বললাম, বাপকা ব্যাটা বললে কম বলা হবে। একই সঙ্গে সে দাদাকা নাতি।
আমার পক্ষে বাপকা ব্যাটা কিংবা দাদাকা নাতি হওয়া একেবারেই অসম্ভব। তবে হলিউডি ব্যাপারটার একটা বাংলাদেশি রূপ দেয়া যেতে পারে। প্রথমে যা করতে হবে তা হলো টেবিলের উপর একটা চেয়ার",Humayun Ahmed
"তোমার বান্ধবী সুষমা কোথায়? কোথায় আমি জানি না স্যার। সত্যই জানি না। সুষমা নামে আমার যে বান্ধবী আছে, এটাই জানি না। তবে আপনি যখন বলছেন তখন অবশ্যই বান্ধবী। স্যার, সে কি আমার প্রিয় বান্ধবী?
কবীর সাহেব তার চায়ের কাপে চুমুক দিয়ে মুখ বিকৃত করলেন। মনে হচ্ছে তার চা-টা কুৎসিত হয়েছে। একই লটে বানানো দু'কাপ চায়ের একটা এত ভালো হলে আরেকটা জঘন্য হবার কারণ দেখছি না। কবীর সাহেব চায়ের কাপ নামিয়ে শীতল গলায় বললেন, তুমি ধানাইপানাই শুরু করেছ। ডলা ছাড়া মুখ খুলবে না, বুঝতে পারছি। ডলা এখন দেব না। সন্ধ্যা পর্যন্ত অপেক্ষা করব।
দুপুরে লাঞ্চ কি দেয়া হবে?
প্রশ্ন শুনে কবীর সাহেব মনে হলো ধাক্কার মতো খেলেন। ডলা সন্ধ্যাবেলা শুরু হবার কথা। তার মুখের কঠিন ভঙ্গি দেখে ক্ষীণ সন্দেহ হচ্ছে–ডলার টাইম এগিয়ে আসবে।",Humayun Ahmed
"কবীর সাহেব দাঁত কিড়মিড় করে
চাইনিজ? আমি বললাম, যে বোয়াল মাছটা আজ দুপুরে ভাবি রান্না করবেন তার একটা পিস খেতে ইচ্ছা করছে। সাতকড়া দিয়ে মাংস খেয়েছি। বোয়াল খাই নি।
ফরমাশ আছে? মোগলাই খানা কিংবা,
আমার স্পর্ধা দেখে কবীর সাহেব হতভম্ব হয়ে গেলেন। কোনো কথা না বলে চায়ে পরপর তিনবার চুমুক দিলেন। প্রতিবারই মুখ বিকৃত করলেন।
বোয়াল মাছের পেটির একটা পিস কি স্যার খাওয়া যাবে? একটা পিস কেন! আস্ত বোয়ালই খাওয়াবার ব্যবস্থা করছি। স্যার অশেষ ধন্যবাদ।
ভদ্রলোক উঠে চলে গেলেন। ধড়াস করে শব্দ হলো। বাইরের দরজা লাগানো হলো। এখন রবীন্দ্রসঙ্গীতের সময়। ভেঙে মোর ঘরের চাবি নিয়ে যাবি কে আমারে' টাইপ সঙ্গীত। অসাধারণ প্রতিভার একজন মানুষ—সব পরিস্থিতির জন্যে গান লিখে রেখে গেছেন। ডায়রিয়া হয়ে কেউ বিছানায় পড়ে গেছে। নিজে নিজে ওঠার সামর্থ্য নেই। তার জন্যেও গান আছে— ‘আমার এই দেহখানি তুলে ধর।",Humayun Ahmed
"আমার একটাই নাম হিমালয়, ওরফে হিমু। তুমি আয়না মজিদ।
বলেন কী স্যার?
চা খেতে চেয়েছিলে চা খাওয়াচ্ছি। আরাম করে যেন চা খেতে পার তার জন্যে হ্যান্ডকাফও খুলে দেয়া হবে। শর্ত একটাই, চা খেয়ে আমার সঙ্গে যাবে। লম্বু খোকনের ঠিকানায় আমাকে নিয়ে উপস্থিত হবে। পারবে না?
লঘু খোকনের ঠিকানাটা দিলে অবশ্যই নিয়ে যাব। কবীর সাহেব বেল টিপলেন। দু'কাপ চা এবং সিংগারা দিতে বললেন। তিনি নিজেই চাবি দিয়ে হ্যান্ডকাফ খুললেন।
বল্টু সাইজের যে ছেলেটা ঢুকল সে কিছুক্ষণ ভ্রু কুঁচকে এবং ঠোঁট উল্টে আমার দিকে তাকিয়ে থাকল। আমার জন্যে চা আনতে হচ্ছে এটা সে নিতে পারছে না। তার মানসিক সমস্যা হচ্ছে।
কবীর সাহেব হাই তুলতে তুলতে বললেন, আয়না মজিদ, তুমি যে সহজ চিজ না আমরা জানি। আমরাও কিন্তু মধ্যেই তুমি মুখ খুলবে। হড়বড় করে হতে থাকবে। ঝর্ণাধারার মতো। ঝর্ণাধারা চেনো?",Humayun Ahmed
"চব্বিশ ঘণ্টার
আমি বললাম, চিনি স্যার। চন্দন বর্ণা । সুন্দরী ঝর্ণা। ঝর্ণা সুন্দরী ঝর্ণা। তরলিত চন্দ্রিকা
স্টপ!
চা চলে এসেছে। দুজনের জন্য এসেছে। রঙ দেখে মনে হচ্ছে চা ভালো হয়েছে। আমি চায়ে চুমুক দিলাম। চা যথেষ্টই ভালো। প্রথম চুমুক দেবার পরই মনে হয় এই চা পর পর দু'কাপ খেতে পারলে ভালো হতো।
আয়না মজিদ।
জি স্যার।
কবীর সাহেব কৌতূহলী হয়ে তাকালেন। আয়না মজিদ ডাকতেই আমি সাড়া দিয়েছি, এটাই তার কৌতূহলের কারণ। তিনি হয়তো ভাবছেন— চিড়িয়া খাঁচায় ঢুকে গেছে।
তোমার শিষ্যরা কি সব দেশে আছে, না-কি দু'একজনকে ইন্ডিয়া পাচার করেছ?
আমি কাউকে পাচার করি নাই। যারা গেছে নিজের ইচ্ছায় গিয়েছে। ইন্ডিয়া বেড়ানোর জন্যে ভালো।",Humayun Ahmed
"মা বললেন, 'তোমরা কেমন আছ?'
কেউ কোনো জবাব দিলাম না। মা কি আমাদের তুমি করে বলতেন, না তুই করে বলতেন কিছুতেই মনে পড়ল না।
'সবাই অনেক বড় হয়ে গেছ, এবং খুব সুন্দর হয়েছ সবাই। বসো। কথা বলি তোমাদের সঙ্গে।
আমরা বসলাম।
মা বললেন, 'তোমরা নাকি নদীর পাড়ে গিয়েছিলে?""
আমরা সে কথার জবাব দিলাম না।
মা থেমে থেমে বললেন, কয়েকদিন আগে সেতারার গান শু
বিশ্বাসই হয়নি আমার একটি মেয়ে এত সুন্দর গান গায়! শুনলাম রেডিওতে।
সেতারা তাকিয়ে আছে তীক্ষ্ণ দৃষ্টিতে। কিছু একটা দেখতে চেষ্টা করছে মা'র মধ্যে। নিজের মনের ছবির সঙ্গে মিলিয়ে নিচ্ছে হয়তো। ‘তুমি মা খুব নাম করবে। দেশের মানুষের ভালবাসা তুমি পাবে – এখনই অবশ্যি
-
পেয়েছ, আরো পাবে।'
নীলু বলল, 'আপনি কখন এসেছেন?
‘কিছুক্ষণ আগে এসেছি।
'বাবার সঙ্গে দেখা হয়েছে ?
মা ইতস্তত করে বললেন, 'না।' যান, বাবার কাছে যান। উনি আপনার জন্যে খুব ব্যস্ত হয়ে আছেন।' মা নড়লেন না। বসেই রইলেন।",Humayun Ahmed
"আমি বললাম, 'আসুন, আপনাকে বাবার কাছে নিয়ে যাচ্ছি।' বাবার ঘরে ঢোকামাত্র বাবা তাঁর অভ্যাসমত বললেন, 'কে, রেণু?""
মা দরজার পাশে থমকে দাঁড়ালেন। বাবা বললেন, 'ভাল আছ রেণু?'
সেই রাতেই বাবার অসুখ বেড়ে গেল। বুকে হাত দিয়ে বহু কষ্টে টেনে টেনে শ্বাস নিতে লাগলেন। কথাবার্তা জড়িয়ে গেল। তবু একটু কোনো শব্দ হতেই মাথা তুলে বলতে
লাগলেন, 'কে, রেনু?""
মা তাঁর এত পাশে দাঁড়িয়ে, কিন্তু তাঁকে চিনতে পারলেন না।
আমি চলে এলাম আমার ঘরে। নীলুর বিছানার ওপর দেখি একটি নীল খাম পড়ে আছে। রকিব ভাইয়ের লেখা চিঠি নিশ্চয়ই। নীলু হয়তো আজই পেয়েছে। রেখে দিয়েছে
গভীর রাতে একা একা পড়বার জন্যে।
চারদিকে সুনসান নীরবতা। আমি বসে আছি চুপচাপ। আমার পাশেই ভালবাসার একটি নীল চিঠি। আমি হাত বাড়িয়ে চিঠিটি স্পর্শ করলাম। ঠিক তখনি নিচ থেকে একটি
তীব্র ও তীক্ষ্ণ কান্নার শব্দ ভেসে এল।
মা কাঁদছেন।",Humayun Ahmed
"আমর৷ বেশ খানিকক্ষণ চুপ করে বসে রইলাম। ছেলেগুলি সেতারাকে গান গাইতে বলল না। কিন্তু সেতারা নিজ থেকেই গুনগুন করতে শুরু করল। খোলা মাঠ। অদূরেই শীর্ণকায় ব্রহ্মপুত্র। সন্ধ্যা হয়ে আসছে। পাখিরা ডানা ঝাপটাচ্ছে গাছে গাছে। এর মধ্যে সেতারার কিন্নর কন্ঠ চারদিকে ছড়িয়ে পড়ল - -
চাহিতে যেমন আগের দিনে
তেমনি মদির চোখে চাহিও যদি গো সেদিন চোখে আসে জল
লুকাতে সে জল করিও না হল আমাদের তিন বোনের চোখ ভিজে উঠল । আমরা কতগুলি অপরিচিত ছেলেকে সামনে বসিয়ে কাঁদতে শুরু করলাম। কান্নার মতো গভীর তো কিছু নেই। একজনের দুঃখ অন্যজনকে স্পর্শ করে না। কিন্তু একজনের চোখের জল অন্যকে স্পর্শ করে। ছেলেগুলি দেখলাম একে একে মুখ ফিরিয়ে অন্য দিকে তাকাচ্ছে। পুরুষরা তাদের চোখের জল মেয়েদের দেখাতে চায় না।
একটি ছেলে কোমল স্বরে বলল, 'আরেকটা গাইবেন?” কোন ডালৌকিক জগৎ থেকে সেতারার গান আসে? বুকের মধ্যে প্রচণ্ড কষ্ট নিয়ে শুনলাম সে গাইছে, ‘নহে নহে প্রিয়, এ নয় আঁখি জল। ক্রমে ক্রমে সন্ধ্যা মিলিয়ে এল। ",Humayun Ahmed
"ব্রহ্মপুত্রের ওপর দিয়ে উড়ে আসতে লাগল শীতল
হাওয়া। অন্ধকার ঝোপগুলিতে চিকমিক করতে লাগল জোনাকি। ছেলেগুলি আমাদের
বাড়ি পর্যন্ত এগিয়ে দিল। সেতারা বলল, 'ভেতরে আসবেন?'
'জ্বি না, জ্বি না।'
কিন্তু ওরা চলেও গেল না। গেটের বাইরে অন্ধকারে দাঁড়িয়ে রইল চুপচাপ। একজন মৃদু স্বরে বলল, আপনার বাবার শরীর কি এখন ভাল?” নীলু বলল, 'একটু ভাল।'
কিন্তু বাবার শরীর ভাল নয়। আমি জানি বাবা মারা যাবেন খুব শিগগিরই। মৃত্যু টের পাওয়া যায়। তার পদশব্দ ক্ষীণ কিন্তু অত্যন্ত তীক্ষ্ণ। বাবা মারা যাবার পরপরই আমরা একা হয়ে যাব। কেউ কি তখন এগিয়ে আসবে আমাদের কাছে? একমুখ দাড়িগোঁফ নিয়ে রকিব ভাই হাসিমুখে বলবেন কে বিলু আর কে নীলু? গাঢ় ভালবাসার সুবিশাল বাহু - প্রসারিত করবেন আমাদের দিকে। হয়তো করবেন, হয়তো করবেন না। এখানে কিছুই নিশ্চিত করে বলা যায় যা।
বসবার ঘরে বাতি জ্বলছিল। আমরা ঘরে ঢুকেই দেখলাম আমাদের লাল রঙের সোফাটিতে মা বসে আছেন। কেমন অদ্ভুত একটি শান্ত বিষণ্ন ভঙ্গি। মা মাথা নিচু করে বললেন, 'তোমাদের বাবাকে দেখতে এলাম। নজমুল সাহেব টেলিগ্রাম করেছিলেন।
",Humayun Ahmed
